Station,Latitude,Longitude,COMID_v1,Bias Corrected,Corrected Variability,Corrected Correlation,Corrected KGE
Congo_dja_km2187,3.0485,12.5401,7067504,0.99993934,0.969400372,0.759934305,0.757991986
Congo_djoue_km0540,-4.217,15.031,7078219,0.999540671,1.145815896,0.659584764,0.629669041
Congo_dungu_km3335,3.6946,28.7931,7066488,0.999466561,0.700116189,0.812394479,0.646267875
Congo_elila_km2684,-2.7354,26.0104,7076324,0.999527303,0.834237234,0.794187487,0.735734398
Congo_elila_km2725,-2.8554,26.1924,7076479,0.999864323,1.007732153,0.826018378,0.825846592
Congo_elila_km2809,-3.0417,26.5459,7076705,0.999893952,1.029007563,0.782300064,0.780375975
Congo_elila_km2832,-3.0506,26.6166,7076721,0.99969448,0.912660477,0.841020474,0.818608778
Congo_elila_km2926,-2.9571,26.9944,7076706,0.999817429,0.891438775,0.661020656,0.644061004
Congo_elila_km2947,-3.0531,27.0839,7076825,0.999701401,1.003852331,0.660440764,0.660418781
Congo_elila_km3112,-3.4761,27.5771,7077389,1.000054178,1.059530971,0.631246214,0.626471829
Congo_elila_km3147,-3.5088,27.7831,7077285,1.00000214,0.951767365,0.626669867,0.623567037
Congo_epulu_km2732,1.2714,28.3954,7070479,0.998954717,0.99444792,0.336614153,0.336590096
Congo_giri_km1316,0.8357,18.1274,7071148,0.998664315,0.894968715,0.879050012,0.839805573
Congo_giri_km1463,1.636,18.454,7069960,0.999563777,1.00665977,0.909006952,0.908762521
Congo_giri_km1473,1.685,18.485,7069773,0.999444727,0.959575167,0.908377931,0.899854711
Congo_giri_km1474,1.6852,18.4862,7069773,0.999161118,0.928357799,0.936841019,0.904488924
Congo_ibenga_km1534,2.7131,18.0789,7068696,0.999774611,0.935779063,0.833335817,0.821390567
Congo_ikelemba_km1226,0.1633,18.3551,7072130,0.998405388,0.764179821,0.431125016,0.384181482
Congo_ikelemba_km1263,0.2679,18.4691,7071936,0.998514307,0.899784238,0.614129366,0.601325255
Congo_ikelemba_km1323,0.3187,18.7878,7071894,0.998432636,1.100868346,0.807309079,0.782499032
Congo_ikelemba_km1363,0.3675,18.9595,7071806,0.998531178,1.095716816,0.863039587,0.832901164
Congo_ikelemba_km1374,0.3551,19.0107,7071810,0.998211607,1.003185114,0.649705915,0.64968687
Congo_ikelemba_km1416,0.3306,19.1994,7071878,0.998366468,1.145202854,0.743966485,0.705653779
Congo_inzia_km1035,-4.1129,17.9656,7078072,0.999303075,0.89663075,0.612851867,0.599288927
Congo_inzia_km1043,-4.1458,17.9589,7078194,0.999627021,1.047386057,0.789607944,0.784337312
Congo_inzia_km1056,-4.2156,17.9231,7078332,0.999720193,0.807691293,0.693222855,0.637929656
Congo_inzia_km1170,-4.7144,17.5651,7079578,0.99949119,0.630814397,0.258710046,0.171864103
Congo_itimbiri_km1957,2.2299,23.0399,7068830,0.999181028,0.891829183,0.887521539,0.843945521
Congo_itimbiri_km1974,2.2729,23.1236,7068767,0.999204056,0.859143055,0.886419544,0.819052957
Congo_itimbiri_km1995,2.3764,23.1485,7068659,0.999028894,0.88359473,0.889800813,0.839703429
Congo_itimbiri_km2055,2.6193,23.4214,7068247,0.998654506,0.741807183,0.872272905,0.711938284
Congo_itimbiri_km2104,2.6821,23.6794,7068156,0.998402147,0.745660174,0.828261362,0.693103503
Congo_itimbiri_km2142,2.7634,23.8204,7068011,0.998697777,0.748815223,0.876028159,0.719884836
Congo_itimbiri_km2146,2.7824,23.8529,7067939,0.999052185,0.800851149,0.904178533,0.778995664
Congo_ituri_km2530,1.6143,27.0649,7069877,0.999737587,0.984210779,0.818690701,0.818004313
Congo_ituri_km2544,1.5806,27.1754,7069877,0.999492371,1.068984407,0.844776922,0.830137379
Congo_ituri_km2573,1.5404,27.4006,7070325,0.999688832,1.044558059,0.806337596,0.801277469
Congo_ituri_km2613,1.3434,27.5897,7070325,0.999829904,1.110146709,0.883415308,0.83961198
Congo_ituri_km2658,1.3371,27.9134,7070407,0.999748768,1.216719787,0.731503015,0.654951945
Congo_ituri_km2676,1.3341,28.0559,7070346,0.999841218,1.166655326,0.821914303,0.756097277
Congo_ituri_km2736,1.1611,28.4175,7070609,1.000011174,1.074656004,0.684829191,0.676107799
Congo_ituri_km2748,1.0869,28.4686,7070720,0.999804882,0.916892431,0.542637368,0.535147891
Congo_ituri_km2822,1.1886,28.8814,7070838,0.99998205,1.166016374,0.800915334,0.740777816
Congo_ituri_km2833,1.1952,28.9601,7070636,1.00003957,1.288414158,0.793862353,0.645492655
Congo_ituri_km2928,1.0879,29.3698,7070847,0.999939203,1.181831819,0.887444947,0.786150861
Congo_ituri_km2945,1.1811,29.4247,7070847,0.999985646,1.081168619,0.847964639,0.827654139
Congo_ituri_km2962,1.2229,29.4934,7070496,0.999942435,1.003395415,0.78772159,0.787694429
Congo_ituri_km3015,1.4461,29.7596,7070134,0.999962576,1.057500767,0.88102067,0.867854547
Congo_kadei_km1791,3.5901,15.9312,7066649,0.999769953,1.032276434,0.777324113,0.774996951
Congo_kadei_km1833,3.7854,15.6824,7066230,0.999455451,0.829531797,0.54178938,0.511106681
Congo_kadei_km1878,3.9725,15.5501,7066201,0.999523667,0.852914711,0.910928598,0.828046448
Congo_kadei_km1953,4.1004,15.1109,7065651,0.999742785,0.928735835,0.604149843,0.597786134
Congo_kadei_km2011,4.2331,14.7899,7065375,0.999464515,0.871917664,0.853845394,0.805663847
Congo_kadei_km2027,4.1986,14.6656,7065519,0.999604272,0.956270314,0.924946642,0.913135458
Congo_kadei_km2028,4.1892,14.6564,7065519,0.999636957,0.892615538,0.958893398,0.885016057
Congo_kalungwishi_km3764,-9.2064,29.3249,7083889,1.000130635,1.077099835,0.839374403,0.821828779
Congo_kalungwishi_km3780,-9.3151,29.3489,7084195,1.000181238,1.179659861,0.315811,0.292615885
Congo_kasai_km0715,-3.1117,16.2746,7076858,0.998480561,1.025768175,0.911542307,0.907852993
Congo_kasai_km0758,-3.0552,16.6216,7076703,0.998314641,0.850721275,0.945242381,0.840986243
Congo_kasai_km0760,-3.046,16.632,7076703,0.998719673,0.947514676,0.964247811,0.936481755
Congo_kasai_km0769,-3.039,16.728,7076757,0.998093367,0.898576989,0.763729335,0.742873398
Congo_kasai_km0770,-3.052,16.7241,7076757,0.998820922,0.844858006,0.950276706,0.837080282
Congo_kasai_km0840,-3.1809,17.2264,7076904,0.999338382,0.895159814,0.944265849,0.881264167
